MethodicId;TubeNumber;ChanelName;MethodicName;Status;MethodicSteps;Data
83d7d2ba-2f43-4978-90f5-f68a7511db6c;17.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2622.323 2590.938 2547.177 2548.229 2548.771 2550.844 2544.906 2543.844 2549.656 2547.344 2546.729 2546.063 2553.156 2545.708 2543.24 2541.24 2541.802 2548.365 2547.917 2550.604 2555.344 2561.833 2567.938 2581.823 2597.219 2608.75 2618.167 2624.208 2627.406 2628.198 2630.917 2632.656 2632.927 2628.813 2636.396 2632.771 2632.146 2632.552 2631.833 2632.146 2631.521 2633.51 2636.667 2634.708 2632.635]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;17.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2226.156 2215.802 2200.771 2200.208 2204.198 2202 2196.958 2201.719 2199.49 2202.365 2202.656 2201.594 2205.396 2203.698 2206.063 2211.792 2217.208 2228.885 2257.427 2310.24 2404.406 2561.646 2801.49 3090.063 3398.719 3657.292 3849.865 3979.365 4060.698 4096.76 4115.115 4138.427 4144.573 4146.448 4152.052 4151.656 4146.74 4150.396 4154.438 4151.885 4147.521 4150.156 4148.469 4146.531 4146.802]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;17.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2077.76 2070.396 2056.958 2061.615 2060.542 2059.292 2061.333 2061.854 2061.781 2064.073 2062 2064.813 2065.354 2063.708 2064.604 2067.24 2069.958 2061.729 2065.354 2062.063 2066.229 2067.781 2071.938 2069.677 2072.823 2067.51 2074.917 2072.01 2071.948 2077.49 2078.573 2075.875 2074.969 2076.313 2077.76 2079.417 2081.042 2074.771 2078.563 2078.229 2077.49 2080.302 2077.833 2079.719 2080.615]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;17.;Cy5;Ct (1-20) 281019 Br;Отрицательный;45.;[2362.594 2331.75 2288.792 2294.479 2299 2295.708 2298.99 2297.021 2298.698 2296.854 2292.333 2296.417 2295.396 2295.802 2299.813 2296.833 2298.667 2299.594 2297.708 2302.448 2300.74 2299.208 2297.833 2298.49 2301.677 2305.229 2303.406 2306.417 2301.458 2307.365 2307.583 2312 2307.979 2314.229 2311.219 2315.542 2316.552 2312.969 2314.052 2321.281 2318.063 2315.938 2320.292 2318.896 2320.792]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;17.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3470.656 3384.438 3260.073 3270.76 3285.958 3278.323 3276.375 3276.802 3276.573 3276.083 3273.708 3273.438 3272.958 3274.906 3272.698 3276.521 3277.385 3280.542 3275.042 3276.646 3277.427 3281.458 3278.729 3281.25 3279.063 3283 3278.875 3280.104 3284.156 3281.375 3282.323 3281.49 3282.438 3280.708 3281.521 3283.625 3285.646 3287.969 3284.417 3291.427 3283.333 3290.01 3288.479 3288.615 3293.74]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;18.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2559.823 2515.073 2512.135 2516.99 2514.427 2514.323 2516.156 2515.323 2515.188 2512.833 2516.708 2511.667 2511.354 2512.125 2514.375 2512.927 2513.875 2509.563 2514 2511.354 2511.052 2511.271 2512.365 2514.125 2508.375 2507.385 2511.719 2512.781 2513.417 2515.573 2520.073 2528.51 2532.75 2548.385 2560.01 2572.313 2581.51 2588.469 2585.677 2588.563 2594.115 2589.844 2591.844 2588.885 2593.302]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;18.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2191.083 2182.479 2179.938 2177.167 2177.771 2181.375 2178.292 2179.25 2176.135 2180.625 2178.479 2180.885 2179.115 2177.417 2183.958 2177.417 2180.479 2178.448 2180.354 2180.729 2179.813 2177.792 2178.958 2182.083 2186.844 2185.104 2196.458 2207.198 2228.458 2281.323 2361.458 2505.802 2725.198 2993.469 3280.667 3530.74 3716.917 3834.177 3903.75 3939.396 3960.146 3971.688 3976.896 3974.042 3981.708]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;18.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2061.479 2052.677 2047.333 2051.135 2049.198 2052.99 2049.781 2049.635 2049.521 2052.125 2053.854 2053.094 2053.635 2051 2051.573 2050.24 2055.979 2051.073 2053.729 2053.458 2054.552 2051.729 2054.188 2055.74 2056.594 2056.49 2054.375 2057 2056.135 2058.896 2054.208 2059.375 2055.781 2059.802 2065.677 2068.583 2070.74 2072.115 2075.125 2076.427 2075.708 2081.938 2081.875 2080.771 2082.031]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;18.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2314.031 2266.219 2264.354 2266.76 2266.083 2272.844 2267.521 2270.26 2267.01 2271.906 2270.635 2270.031 2270.719 2270.49 2275.125 2272.813 2272.49 2275.208 2273.281 2272.927 2273.917 2274.167 2274.542 2275.979 2276.479 2276.042 2279.188 2279.323 2280.896 2277.167 2287.01 2292.677 2306.219 2339.333 2386.583 2461.031 2529.104 2579.563 2628.74 2673.271 2709.042 2735.906 2751.271 2767.177 2776.167]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;18.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3280.146 3165.208 3152.396 3162.896 3162.646 3162.51 3162.802 3159.448 3164.948 3164.448 3159 3165.802 3164.396 3161.771 3167.188 3164.833 3168.104 3163.615 3169.969 3167.313 3167.49 3168.25 3169.531 3170.458 3172.083 3168.688 3174.688 3170.021 3175.771 3171.427 3174.167 3180.479 3181.167 3182.25 3188.292 3200.74 3207.073 3218.906 3224.635 3226.156 3232.792 3237.615 3235.656 3240.313 3240.76]
